obj,time,method,robj
188.53399518699604,35.73664125799999,PGD,0.301228300350436
188.53399283289005,35.73854993199999,PGD,0.30122594624444854
188.53399047878517,35.74049727199999,PGD,0.3012235921395695
188.5339881246828,35.742467315999995,PGD,0.3012212380371916
188.53398577058366,35.744442746999994,PGD,0.30121888393805374
188.5339834164873,35.746421430999995,PGD,0.3012165298417012
188.53398106239274,35.748400905,PGD,0.30121417574713927
188.53397870830239,35.75037841499999,PGD,0.30121182165678373
188.5339763542145,35.75236233099999,PGD,0.3012094675689009
188.5339740001266,35.754336716,PGD,0.3012071134809896
188.5339716460435,35.756295425,PGD,0.30120475939791
188.5339692919625,35.75826183299999,PGD,0.30120240531690523
188.53396693788343,35.76023867799999,PGD,0.3012000512378331
188.53396458380774,35.76221135699999,PGD,0.3011976971621432
188.53396222973458,35.764153234999995,PGD,0.30119534308898277
188.53395987566438,35.76619988099999,PGD,0.3011929890187782
188.5339575215961,35.76817082499999,PGD,0.30119063495050635
188.53395516752946,35.770160073999996,PGD,0.3011882808838545
188.53395281346818,35.772170038999995,PGD,0.3011859268225744
188.53395045940727,35.77414708799999,PGD,0.30118357276166374
188.53394810534962,35.77607015299999,PGD,0.3011812187040216
188.53394575129377,35.77796821999999,PGD,0.30117886464817
188.53394339724105,35.77989405299999,PGD,0.3011765105954448
188.53394104319267,35.781889363999994,PGD,0.30117415654706814
188.53393868914475,35.783865719999994,PGD,0.3011718024991462
188.53393633510007,35.78583963399999,PGD,0.30116944845446436
188.53393398105825,35.787821195999996,PGD,0.3011670944126531
188.5339316270183,35.792294072999994,PGD,0.30116474037268925
188.53392927298142,35.794464506999994,PGD,0.3011623863358234
188.53392691894732,35.79645667799999,PGD,0.3011600323017144
188.53392456491517,35.798438012999995,PGD,0.3011576782695665
188.53392221088683,35.800420581999994,PGD,0.30115532424122715
188.53391985685903,35.802391875999994,PGD,0.3011529702134278
188.53391750283475,35.80431324599999,PGD,0.30115061618915273
188.5339151488138,35.806214696999994,PGD,0.301148262168203
188.53391279479519,35.808118132,PGD,0.30114590814958386
188.53391044077966,35.810065202,PGD,0.3011435541340627
188.53390808676633,35.81208452999999,PGD,0.30114120012073
188.53390573275425,35.814107615999994,PGD,0.30113884610864783
188.53390337874674,35.816106295999994,PGD,0.3011364921011416
188.5339010247397,35.81809727299999,PGD,0.30113413809409006
188.53389867073736,35.82008676699999,PGD,0.30113178409175656
188.5338963167371,35.82206811699999,PGD,0.30112943009149784
188.53389396273863,35.824060702999994,PGD,0.3011270760930297
188.5338916087437,35.82603430499999,PGD,0.30112472209808583
188.53388925475124,35.82801411599999,PGD,0.3011223681056431
188.53388690076073,35.82999316499999,PGD,0.301120014115133
188.5338845467746,35.83196748899999,PGD,0.3011176601289999
188.53388219278816,35.833906170999995,PGD,0.3011153061425541
188.53387983880518,35.83579991799999,PGD,0.3011129521595758
188.53387748482731,35.837693855999994,PGD,0.3011105981817134
188.5338751308499,35.83960109899999,PGD,0.3011082442043057
188.53387277687506,35.84159155099999,PGD,0.301105890229456
188.53387042290294,35.84361549799999,PGD,0.30110353625733477
188.53386806893212,35.84557924999999,PGD,0.30110118228652094
188.53386571496546,35.847549455999996,PGD,0.3010988283198567
188.5338633610029,35.84953261999999,PGD,0.30109647435728515
188.53386100704049,35.851496907999994,PGD,0.30109412039488415
188.5338586530819,35.853466848,PGD,0.30109176643629165
188.53385629912455,35.855425614999994,PGD,0.3010894124789497
188.53385394517016,35.85739189499999,PGD,0.30108705852456363
188.53385159121976,35.859358246999996,PGD,0.3010847045741566
188.53384923727134,35.86128133999999,PGD,0.30108235062573907
188.53384688332523,35.863229522999994,PGD,0.3010799966796237
188.53384452938167,35.865204260999995,PGD,0.3010776427360663
